,chembl_id,IC50,units,canonical_smiles,pIC50
6753,CHEMBL4064776,56.0,nM,Oc1ccc(\C=N\NC(=O)Nc2cc3c(Nc4ccc(F)c(Cl)c4)ncnc3cc2O[C@H]5CCOC5)cc1,7.251811972993799
4583,CHEMBL3436355,12.5,nM,CN1CCN(Cc2oc(cc2)c3ccc4ncnc(Nc5ccc(OCc6cccc(F)c6)c(Cl)c5)c4c3)CC1.Cc7ccc(cc7)S(=O)(=O)O,7.903089986991944
1038,CHEMBL31570,0.97,nM,COCCOc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2nc1NC(=O)C=C,9.013228265733755
3134,CHEMBL1095957,2070.0,nM,Cl.NCCc1c[nH]c2ccc(OCCc3ccc(O)cc3)cc12,5.684029654543083
2745,CHEMBL511839,82.0,nM,NS(=O)(=O)c1ccc(Nc2nc3ncnc(Nc4ccccc4)c3s2)cc1,7.086186147616283
6614,CHEMBL4095623,25000.0,nM,C(c1ccccc1)c2oc(Cc3nc4ccccc4[nH]3)nn2,4.6020599913279625
2722,CHEMBL461781,6300.0,nM,FC(F)(F)c1ccc(cc1)n2cnnc2SCc3onc(COc4c(Cl)cccc4Cl)n3,5.200659450546418
4634,CHEMBL3088222,2580.0,nM,Cc1ncc([N+](=O)[O-])n1C\C(=N\NC(=O)c2ccccc2O)\c3ccc(Br)cc3,5.58838029403677
3437,CHEMBL1254364,12800.0,nM,Cc1ccccc1Cc2cc3c(Nc4cccc(Br)c4)nc(N)nc3n2C,4.892790030352131
3446,CHEMBL1257912,726.0,nM,CC(=O)Nc1ccc2Nc3n[nH]cc3N=C(c4ccccc4Cl)c2c1,6.139063379299906
2103,CHEMBL249511,331.0,nM,Fc1ccc(Nc2ncnc3ccc(cc23)C#Cc4ccccc4)cc1Cl,6.480172006224281
1989,CHEMBL246072,130.0,nM,Fc1cccc(Cn2ncc3cc(Nc4ncnn5ccc(COCC6CCNCC6)c45)ccc23)c1,6.886056647693163
6110,CHEMBL3934556,1000.0,nM,CCOc1cc(ccc1Nc2nccc(n2)c3c(nc4ccccn34)c5cccc(c5)C(=O)Nc6c(F)cccc6F)N7CCC(CC7)N8CCN(CC8)S(=O)(=O)C,6.0
863,CHEMBL161956,0.22,nM,CN(CCO)c1cc2c(Nc3cccc(Br)c3)ncnc2cn1,9.657577319177793
5230,CHEMBL3622679,6.4,nM,CC(C)NC\C=C\C(=O)Nc1cc2c(Nc3cccc(c3)C#C)ncnc2cc1O[C@H]4CCOC4,8.193820026016112
4860,CHEMBL3233761,799.0,nM,CN(C)CCCC(=O)Nc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2s1,6.097453220686009
4652,CHEMBL3092318,543.0,nM,OC1CN(C1)C(=O)Nc2cc3c(Nc4ccc(F)c(Cl)c4)ncnc3cc2O[C@H]5CCOC5,6.265200170411153
3981,CHEMBL1944923,35800.0,nM,CC(=O)Nc1ccc(cc1)S(=O)(=O)Nc2nc3ccccc3nc2Nc4ccc(cc4)C(=O)O,4.446116973356125
2939,CHEMBL589831,940.0,nM,ClCCN(CCCl)c1ccc(cc1)C(=O)Nc2ccc(Br)cc2,6.026872146400302
6182,CHEMBL3671509,91.0,nM,CCNC(=S)NCCOc1cc2ncnc(Nc3ccc(Br)cc3F)c2cc1NC(=O)C=C,7.040958607678906
3088,CHEMBL1084117,60900.0,nM,CC1=C(C(NC(=N1)Nc2ccc(cc2Cl)[N+](=O)[O-])c3ccc(O)cc3O)C(=O)Nc4ccc(C)cc4,4.215382707367125
1379,CHEMBL51320,2030.0,nM,C(Nc1ncnc2cnccc12)c3ccccc3,5.692503962086787
165,CHEMBL136511,1.4,nM,Brc1cccc(Nc2ncnc3ccc(NS(=O)(=O)C=C)cc23)c1,8.853871964321762
5628,CHEMBL3353411,33.0,nM,COc1cc(N(C)CCN(C)C)c(NC(=O)C=C)cc1Nc2nccc(n2)c3c[nH]c4ccccc34,7.481486060122112
2386,CHEMBL483234,40000.0,nM,C[C@H](NC(=O)c1ccc(cc1)S(=O)(=O)Oc2ccc(\C=C\[N+](=O)[O-])cc2)C(=O)N[C@@H](C)C(=O)OC(C)(C)C,4.3979400086720375
6722,CHEMBL4089588,19.3,nM,Clc1ccc(NC(=O)Nc2ccc3ncnc(Nc4cccc(Br)c4)c3c2)cc1,7.714442690992226
6185,CHEMBL3671512,29.0,nM,Fc1cc(Br)ccc1Nc2ncnc3cc(OCCNC(=O)NC=C)c(NC(=O)C=C)cc23,7.5376020021010435
3692,CHEMBL1821868,3850.0,nM,Cc1ccc(cc1C)C2=NN(C(C2)c3ccc(cc3)[N+](=O)[O-])c4nc(cs4)c5ccccc5,5.414539270491499
3467,CHEMBL1271619,4884.0,nM,CN(C)C\C=C\C(=O)N1CCc2c(C1)sc3ncnc(NCCO)c23,5.311224344727155
1521,CHEMBL290389,350.0,nM,COc1cc(\C=C(/C#N)\C(=O)N)cc(Sc2nc3ccccc3s2)c1O,6.455931955649724
1954,CHEMBL398793,130.0,nM,CC1CNCCN(Cc2ccn3ncnc(Nc4ccc5c(cnn5Cc6cccc(F)c6)c4)c23)C1,6.886056647693163
6094,CHEMBL3946096,0.9,nM,CNC(=O)[C@H]1C[C@@H](CCN1C(=O)C=C)Oc2cc3c(Nc4ccc(F)c(Cl)c4F)ncnc3cc2OC,9.045757490560675
879,CHEMBL166307,3.9,nM,CN1CCN(CC1)NCCCNc2cc3c(Nc4cccc(Br)c4)ncnc3cn2,8.4089353929735
3051,CHEMBL590525,7510.0,nM,Cc1cccc(CN(Cc2ccc(O)cc2)C(=O)Nc3ccccc3)c1O,5.124360062995832
2511,CHEMBL491677,1600.0,nM,COc1cc2ncnc(Nc3ccc(cc3)N4Cc5ccccc5C4)c2cc1OC,5.795880017344075
4294,CHEMBL2283258,38460.0,nM,CCCCCCCCCCCCNC(=O)\C=C\c1ccccc1,4.414990720097539
1123,CHEMBL49986,0.54,nM,Brc1cccc(Nc2ncnc3cc(NC(=O)C=C)ncc23)c1,9.267606240177031
1100,CHEMBL278287,49000.0,nM,CN(C(=O)c1ccccc1)c2ccc(C)c(Nc3nccc(n3)c4cccnc4)c2,4.309803919971486
4904,CHEMBL3263965,572.0,nM,COc1cc2c(Oc3ccc(NS(=O)(=O)c4cc(ccc4F)c5ccsc5)cc3F)ccnc2cc1OCCCN6CCN(C)CC6,6.242603971206976
3271,CHEMBL1242566,2900.0,nM,Nc1ncnc2c1c(nn2C3CCC3)c4ccc(F)c(O)c4,5.5376020021010435
